SaveTime,SaveTimeUTC,DeviceName,PortName,InPkts,InOctets,OutPkts,OutOctets,InRatio,OutRatio
2024/05/24 星期五 00:00:00.953,1716480000953,NH-DC-NM224-J05-ROCE-ST-leaf-1.GPU.S9825,FourHundredGigE1/0/3,0,0,0,0,0,0
2024/05/24 星期五 00:00:01.460,1716480001460,NH-DC-NM224-J05-ROCE-ST-leaf-1.GPU.S9825,FourHundredGigE1/0/3,58754,461081020,67970,537462060,1.13,1.31
2024/05/24 星期五 00:04:08.592,1716480248592,NH-DC-NM224-J05-ROCE-ST-leaf-1.GPU.S9825,FourHundredGigE1/0/3,31384568,257585012458,28200295,227951584100,1.30,1.15
2024/05/24 星期五 00:04:13.169,1716480253169,NH-DC-NM224-J05-ROCE-ST-leaf-1.GPU.S9825,FourHundredGigE1/0/3,363610,3138458688,67104,380672878,0.85,0.10
2024/05/24 星期五 00:04:13.669,1716480253669,NH-DC-NM224-J05-ROCE-ST-leaf-1.GPU.S9825,FourHundredGigE1/0/3,86478,738382321,22548,142013540,1.82,0.35
2024/05/24 星期五 00:04:14.169,1716480254169,NH-DC-NM224-J05-ROCE-ST-leaf-1.GPU.S9825,FourHundredGigE1/0/3,0,0,0,0,0,0
2024/05/24 星期五 00:04:14.669,1716480254669,NH-DC-NM224-J05-ROCE-ST-leaf-1.GPU.S9825,FourHundredGigE1/0/3,79600,682147607,20277,126437166,1.7,0.3
2024/05/24 星期五 00:04:15.171,1716480255171,NH-DC-NM224-J05-ROCE-ST-leaf-1.GPU.S9825,FourHundredGigE1/0/3,0,0,0,0,0,0
2024/05/24 星期五 00:04:15.674,1716480255674,NH-DC-NM224-J05-ROCE-ST-leaf-1.GPU.S9825,FourHundredGigE1/0/3,25294,206130539,8088,39179944,0.50,0.07
2024/05/24 星期五 00:04:16.446,1716480256446,NH-DC-NM224-J05-ROCE-ST-leaf-1.GPU.S9825,FourHundredGigE1/0/3,122841,1060198221,21544,116328547,1.72,0.18
2024/05/24 星期五 00:04:16.950,1716480256950,NH-DC-NM224-J05-ROCE-ST-leaf-1.GPU.S9825,FourHundredGigE1/0/3,0,0,0,0,0,0
2024/05/24 星期五 00:04:17.449,1716480257449,NH-DC-NM224-J05-ROCE-ST-leaf-1.GPU.S9825,FourHundredGigE1/0/3,101402,872610935,17386,83179107,2.18,0.20
2024/05/24 星期五 00:04:18.104,1716480258104,NH-DC-NM224-J05-ROCE-ST-leaf-1.GPU.S9825,FourHundredGigE1/0/3,0,0,0,0,0,0
2024/05/24 星期五 00:04:18.609,1716480258609,NH-DC-NM224-J05-ROCE-ST-leaf-1.GPU.S9825,FourHundredGigE1/0/3,33834,279334525,10972,55867092,0.67,0.12
2024/05/24 星期五 00:04:19.110,1716480259110,NH-DC-NM224-J05-ROCE-ST-leaf-1.GPU.S9825,FourHundredGigE1/0/3,0,0,0,0,0,0
